3002	46.1	37	1	37	0
3007	63.9	54	1	27	27
3010	42.3	34	1	34	0
3015	42.6	34	1	34	0
3019	46	37	1	37	0
3022	42.5	33	1	33	0
3027	73.8	57	1	28	29
3033	41.5	33	0	33	0
3037	69.1	54	0	31	22
3044	62.4	50	1	32	18
3047	59.5	47	1	30	17
3054	49	39	1	39	0
3058	62.9	50	1	32	18
3061	69.8	57	1	27	30
3065	42.6	34	0	34	0
3067	59.2	47	1	47	0
3071	60.8	51	1	51	0
3077	75.8	62	0	25	37
3082	44	40	1	40	0
3088	45.6	36	1	34	2
3093	49.9	41	1	33	8
3098	65.5	53	1	31	22
3103	45.7	36	1	36	0
3109	44	40	1	40	0
3114	44	40	1	40	0
3118	43.6	35	1	35	0
3124	64.7	52	0	32	20
3129	69.6	54	1	32	22
3134	44	40	1	40	0
3139	74.1	62	1	26	36
3144	43.6	35	1	35	0
3150	58.5	48	1	48	0
3155	64.8	52	1	33	19
3158	44	34	1	34	0
3162	43.1	34	1	34	0
3166	63.3	50	1	50	0
3169	47.6	38	0	36	2
3175	44	40	1	40	0
3180	44.1	35	1	35	0
3185	49.4	38	1	38	0
3191	64.9	53	1	53	0
3197	44.4	35	0	35	0
3201	61.8	49	1	49	0
3208	70.3	57	1	29	28
3211	45.2	36	1	36	0
3215	44.6	36	1	36	0
3221	68.8	56	1	56	0
3226	64.8	52	1	52	0
3228	58.9	42	1	35	7
3234	45	36	1	36	0
3241	61.7	48	1	33	15
3248	49.3	40	1	35	5
3255	46.5	38	0	38	0
3258	60.6	50	1	50	0
3268	68.9	58	1	32	26
3274	68.9	56	1	34	22
3278	49	39	1	39	0
3285	58.6	45	1	35	10
3291	55.9	45	1	45	0
3298	45.7	36	1	36	0
3304	55.1	45	1	36	9
3308	49.2	40	1	37	3
3313	68	55	1	50	5
3318	69.1	55	1	30	25
3332	46.3	37	1	37	0
3337	47.1	38	0	37	1
3340	58.6	47	1	38	9
3346	62.1	50	1	50	0
3350	73	55	1	32	23
3356	61.4	50	1	50	0
3362	64	51	0	37	12
3366	70.4	56	1	54	2
3373	62.9	51	1	51	0
3378	64.2	51	1	51	0
3381	46.8	38	1	38	0
3390	47.7	38	1	38	0
3394	62.6	52	1	52	0
3401	46.9	37	0	37	0
3413	63.2	51	1	51	0
3418	47.7	38	1	38	0
3423	51.2	43	1	43	0
3429	48	38	1	38	0
3433	68.4	55	1	55	0
3439	48.2	38	1	38	0
3442	70.9	59	1	37	22
3447	65.8	52	1	52	0
3453	47.8	38	1	38	0
3457	47.8	38	1	38	0
3466	64.6	51	1	51	0
3510	65.2	51	1	51	0
3516	52.3	40	1	40	0
3525	49.8	40	1	40	0
3530	66.7	53	1	53	0
3535	53.7	42	1	42	0
3539	67.8	53	1	53	0
3543	67.7	54	1	54	0
3546	71	57	1	57	0
3549	67.5	54	1	54	0
3554	69.6	55	1	55	0
3560	65.4	52	1	39	13
3567	71.4	57	1	53	4
